Job Title,City,Pay,PayUnit
Kitchen Supervisor,"84 1ST COMMERCE DR UNIT T2 1Aurora, ONL4G 0H5",16.00,HOUR
Accounting Technician,"Calgary, AB",30.00,HOUR
Health Care Aide,"Williams Lake, BC",20.90,HOUR
"Caretaker, Park","Roxton Pond, QC",15.69,HOUR
Store Manager - Retail,"Unit 203-8120, 128 StreetSurrey, BCV3W 1R1",32.00,HOUR
Administrative Technician,"Québec, QC",Not available,
Drywall Installer,"Surrey, BC",28.00,HOUR
Manufacturing Company Chief Executive Officer,"Cranbrook, BC",Not available,
"Co-ordinator, Community Centre","Montréal, QC",22.00,HOUR
Facility Operation And Maintenance Managers,"Estevan, SK",Not available,
Insurance Sales Representative,"Pointe-aux-Trembles, QC",Not available,
Human Relations Officer - Family Therapy,"Lourdes-de-Blanc-Sablon, QC",25.25,HOUR
"Labourer, Landscape","Hemmingford, QC",13.10,HOUR
Food Service Supervisor,"Revelstoke, BC",15.00,HOUR
"Helper, Welder-fitter - Manufacturing","Bécancour, QC",to be discussed,
Restaurant Assistant Manager,"New Westminster, BC",25.00,HOUR
Early Childhood Educators And Assistants,"Yorkton, SK",Based on Experience,
Farm Labourer,"Saint-Alexis-de-Montcalm, QC",13.10,HOUR
Nurse,"Meadow Lake, SK",40.41,HOUR
Account Manager,"Trois-Rivières, QC",Not available,
Electronic Games Designer,"Vancouver, BC",Not available,
Informatics Business Analyst,"Saint-Hubert, QC",Not available,
Administrative Assistant,"Surrey, BC",25.00,HOUR
Brickmason,"25 Sun Pac BoulevardBrampton, ONL6S 5P6",37.00,HOUR
Nursing Assistant (registered - Québec),"Lévis, QC",to be discussed,
Nursery Worker,"Surrey, BC",16.05,HOUR
Warehouse Clerk - Parts And Equipment,"Gatineau, QC",14.00,HOUR
Pest Controller,"Saskatoon, SK",25.00,HOUR
Shipping And Receiving Clerk,"Saguenay, QC",Not available,
Farm Labourer,"Saint-Rémi, QC",13.50,HOUR
Warehouse Shipping Clerk,"Drummondville, QC",16.00,HOUR
Food Service Supervisor,"Golden, BC",17.50,HOUR
Sales Supervisor,"12085 103A AveSurrey, BCV3V 3G7",21.00,HOUR
"Labourer, Construction","Toronto, ON",18.00,HOUR
Farm Equipment Operator,"Aberdeen, SK",Not available,
Cook,"Surrey, BC",20.00,HOUR
Seasonal Worker - Public Works,"Lac-Sergent, QC",to be discussed,
Database Analyst,"Brampton, ON",39.00,HOUR
Drywall Installer,"2399 Shannon Ridge Dr.Gellatly, BCV4T 1T1",27.00,HOUR
Customer Service Manager - Automobiles,"Québec, QC",to be discussed,
Domestic Housekeeper,"Pickering, ON",18.00,HOUR
Web Developer,"Richmond, BC",30.00,HOUR
Web Developer,"Toronto, ON",Not available,
Legal Secretary,"Saint-Jérôme, QC","36,000",WEEKLY
Sushi Chef,"Edmonton, AB",16.00,HOUR
Administrative Officer,"Saint-Cyrille-de-Wendover, QC",14.50,HOUR
Receptionist,"Trois-Rivières, QC",Not available,
Assistant Department Manager - Retail,"Granby, QC",to be discussed,
Early Childhood Educator (E.C.E.),"Lacolle, QC",16.75,HOUR
CNC (computer Numerical Control) Machinist,"Drummondville, QC",Not available,
Shift Manager - Fast Food Restaurant,"Opaskwayak, MB",12.00,HOUR
Insurance Sales Representative,"Val-des-Monts, QC",Not available,
"Driver, Zamboni","Pierrefonds, QC",18.00,HOUR
Landscape Worker,"Applegrove, QC",18.00,HOUR
Cleaner,"Moose Jaw, SK",345,MONTH
Grocery Clerk,"Oakville, ON",14.25,HOUR
Drywall Installer,"Surrey, BC",27.50,HOUR
Cook,"Saint-Gédéon, QC",to be discussed,
Cook,"North York, ON",15.50,HOUR
Manufacturer's Sales Representative,"Nicolet, QC",Not available,
Journeyman/woman Pipefitter,"Les Méchins, QC",to be discussed,
Order Filler - Retail,"Saint-Léonard, QC",Not available,
Medical Office Assistant,"Calgary, AB",17.00,HOUR
"Technician, Water Distribution Systems","Longueuil, QC",to be discussed,
Bookkeeper,"St. John's, NL",17.00,HOUR
Labourer - Textile Processing,"125, Route 108 EstSaint-Éphrem-de-Beauce, QCG0M 1R0",15.00,HOUR
Diesel Mechanic,"5100 Hubalta Rd,SECalgary, ABT2B 2P1",36.40,HOUR
Stockroom Clerk - Retail,"Prévost, QC",to be discussed,
Tire Changer - Automotive Service,"Laval, QC",to be discussed,
Retail Store Supervisor,"2305 22ND ST W suite 8ASaskatoon, SKS7M 0V6",15.00,HOUR
Veterinarian,"1846 Victoria Ave ERegina, SKS4N 7K3","140,000",YEAR
Customer Service Agent,"Montréal, QC",Not available,
Housekeeping Attendant,"Stoneham-et-Tewkesbury, QC",20.00,HOUR
Construction Labourer And Helper,"10751 Av. AlfredMontréal-Nord, QCH1G 5B2",17.00,HOUR
Fast-food Preparer,"Mirabel, QC",Not available,
Secretary (except Legal And Medical),"Surrey, BC",24.00,HOUR
Warehouse Supervisor,"A-5145 Satellite DriveMississauga, ONL4W 5B6",25.00,HOUR
Bookkeeper,"Woodbridge, ON",22.75,HOUR
CAD (computer-assisted Drafting) Technician,"Longueuil, QC",18.00,HOUR
Business Development Officer,"95 Hedgedale RdBrampton, ONL6T 5P3",35.00,HOUR
